County Name,District Name,School Name,Total_Grade_5_8,Rank_in_District
Atlantic,Absecon Public Schools District,Emma C Attales,392.0,1
Atlantic,Absecon Public Schools District,H Ashton Marsh,2.0,2
Hunterdon,Alexandria Township School District,Alexandria Township School,168.0,1
Warren,Allamuchy Township School District,Allamuchy Township School,165.0,1
Bergen,Allendale Public School District,Brookside School,407.0,1
Salem,Alloway Twp School District,Alloway Township School,124.0,1
Warren,Alpha Borough School District,Alpha Borough School,89.0,1
Bergen,Alpine Public School District,Alpine Elementary School,72.0,1
Sussex,Andover Regional School District,Long Pond School,189.0,1
Monmouth,Asbury Park School District,"Dr. Martin Luther King, Jr. Middle School",195.0,1
Monmouth,Asbury Park School District,Bradley Elementary School,170.0,2
Atlantic,Atlantic City School District,Sovereign Avenue School,298.0,1
Atlantic,Atlantic City School District,Richmond Avenue School,279.0,2
Atlantic,Atlantic City School District,Texas Avenue School,252.0,3
Atlantic,Atlantic City School District,New York Avenue School,228.0,4
Atlantic,Atlantic City School District,Uptown School Complex,210.0,5
Atlantic,Atlantic City School District,Dr Martin Luther King Jr School Complex,209.0,6
Atlantic,Atlantic City School District,Pennsylvania Ave School,189.0,7
Atlantic,Atlantic City School District,Chelsea Heights School,135.0,8
Atlantic,Atlantic City School District,Brighton Avenue School,34.0,9
Ocean,Barnegat Township School District,Russell O. Brackman Middle School,522.0,1
Ocean,Barnegat Township School District,Robert L. Horbelt Elementary School,499.0,2
Camden,Barrington School District,Woodland Middle School,220.0,1
Ocean,Bay Head Borough School District,Bay Head Elementary,64.0,1
Hudson,Bayonne School District,William Shemin Midtown Community School #8,517.0,1
Hudson,Bayonne School District,Walter F. Robinson Community School,423.0,2
Hudson,Bayonne School District,Horace Mann Community School,299.0,3
Hudson,Bayonne School District,Woodrow Wilson Community School,291.0,4
Hudson,Bayonne School District,Henry E. Harris Community School,290.0,5
Hudson,Bayonne School District,Washington Community School #9,283.0,6
Hudson,Bayonne School District,John M. Bailey Community School,268.0,7
Hudson,Bayonne School District,Mary J Donohoe Community School,210.0,8
Hudson,Bayonne School District,Lincoln Community School #5,190.0,9
Hudson,Bayonne School District,Philip G. Vroom Community School,184.0,10
Hudson,Bayonne School District,Nicholas Oresko Community School,119.0,11
Hunterdon,Bethlehem Township School District,Ethel Hoppock Middle School,119.0,1
Hunterdon,Bethlehem Township School District,Thomas B. Conley Elementary School,34.0,2
Burlington,Beverly City School District,Beverly City School District,122.0,1
Warren,Blairstown Elementary Township School District,Blairstown Elementary School,125.0,1
Essex,Bloomfield Township School District,Bloomfield Middle School,946.0,1
